carat,cut_ord,color_ord,clarity_ord,depth,table,log_price,price
0.31,4,5,6,61.0,57.0,6.895682697747868,988
0.4,4,4,5,61.5,59.0,6.922643891475888,1015
1.0,4,6,2,60.5,57.0,8.679312040892672,5880
0.53,4,3,3,61.0,55.0,7.393263094763838,1625
0.3,4,4,3,61.8,56.0,6.654152520183219,776
1.5,2,1,3,60.5,60.0,9.143559338285831,9354
0.31,4,5,3,61.9,55.0,6.522092798170152,680
0.52,2,2,3,63.5,58.0,7.236339342754344,1389
0.32,3,3,7,59.4,60.0,6.792344427470809,891
0.26,2,5,5,60.8,61.0,6.335054251498059,564
0.5,2,6,1,63.2,56.0,7.1252830915107115,1243
1.15,2,2,1,61.9,57.0,8.445482343862237,4654
0.31,4,6,2,62.5,53.0,6.52795791762255,684
0.43,3,6,1,62.6,58.0,6.823286122355687,919
1.0,1,5,1,57.7,65.0,8.215006432761575,3696
1.06,4,2,1,60.6,55.0,8.438582790834326,4622
0.72,4,2,1,61.3,56.0,7.780303087908373,2393
0.7,0,4,1,57.1,64.0,7.595889917718538,1990
1.23,2,5,4,61.5,58.0,9.280798835624744,10730
0.31,3,0,2,61.9,59.0,6.142037405587356,465
2.01,3,1,1,62.0,56.0,9.420439209769585,12338
1.18,3,3,3,61.5,58.0,9.160729871422848,9516
0.66,4,3,6,61.5,56.0,7.969011781106478,2890
0.9,1,3,3,64.0,59.0,8.24301946898925,3801
0.3,4,5,5,61.8,56.0,6.920671504248683,1013
0.41,2,6,3,62.8,55.0,6.914730892718563,1007
1.76,2,2,2,63.0,63.0,9.141633173966392,9336
1.0,2,4,1,62.9,59.0,8.30325712085294,4037
0.56,4,6,2,60.5,57.0,7.503289630675082,1814
0.45,3,6,5,59.8,59.0,7.344719054149673,1548
0.3,3,3,5,60.4,60.0,6.70808408385307,819
0.5,3,3,4,62.5,58.0,7.465082736399547,1746
0.33,4,5,6,60.2,57.0,6.9584483932976555,1052
1.04,2,1,0,61.6,61.0,7.917536353943631,2745
0.56,4,6,3,60.6,56.0,7.5822291942764615,1963
0.9,2,3,2,62.6,60.0,8.273591798199632,3919
0.7,4,2,2,61.5,55.0,7.942717540573791,2815
1.73,3,3,4,61.6,60.0,9.38151671766514,11867
1.0,2,4,5,61.1,55.0,9.01517670716893,8227
0.4,4,0,4,62.6,55.0,6.447305862541213,631
0.37,1,6,2,63.7,55.0,6.523562306149512,681
1.01,1,3,1,62.8,61.0,8.345217926676428,4210
1.05,4,3,3,61.9,56.0,8.777401286867264,6486
1.09,4,2,3,61.5,54.0,8.653819788948063,5732
1.19,4,2,0,61.5,57.0,8.224699561967235,3732
1.29,3,3,1,62.0,58.0,8.698847859222488,5996
2.21,3,2,2,61.1,58.0,9.54559758504085,13983
1.0,2,4,4,63.7,57.0,8.902455592206882,7350
1.02,2,5,3,63.3,57.0,8.792093929503284,6582
1.51,2,2,3,63.1,57.0,9.0142038261485,8219
1.06,2,3,3,61.7,57.0,8.776938645174996,6483
1.51,3,5,1,59.3,61.0,9.003931019653137,8135
0.8,4,4,4,61.2,56.0,8.2409125416889,3793
0.83,3,5,3,61.3,59.0,8.195609567288775,3625
0.42,3,3,2,61.7,58.0,6.602587892189336,737
0.31,4,4,3,61.6,56.0,6.368187186350492,583
1.54,3,6,3,59.3,59.0,9.72531736686465,16736
1.01,1,4,3,63.1,59.0,8.668539943910762,5817
1.5,3,3,2,60.2,61.0,9.23200401161221,10219
0.41,4,4,3,61.1,56.0,6.760414691083428,863
0.72,2,5,3,62.9,57.0,8.003028666384733,2990
0.33,4,5,3,61.6,55.0,6.771935555839602,873
1.28,2,2,1,60.4,61.0,8.819665349340653,6766
0.34,4,5,3,59.8,56.0,6.704414354964107,816
1.51,2,0,5,62.9,58.0,9.079092085366229,8770
0.7,0,2,5,65.8,58.0,7.824046010856292,2500
0.78,3,4,1,60.6,57.0,7.757906208351747,2340
0.33,4,3,2,61.6,56.0,6.226536669287466,506
1.91,2,3,2,63.1,59.0,9.63174444388585,15241
0.9,4,2,1,62.0,57.0,8.182559264068665,3578
0.45,3,3,6,60.8,58.0,7.141245122350491,1263
0.4,2,4,4,63.4,54.0,6.812345094177479,909
0.45,1,3,4,60.7,60.4,7.1276936993473985,1246
1.06,2,1,1,61.4,56.5,8.4040244933106,4465
0.51,4,5,4,62.8,57.0,7.637716432664798,2075
1.51,3,3,5,60.9,58.0,9.635804166591036,15303
0.3,4,2,6,62.2,56.0,6.499787040655854,665
0.5,2,2,5,62.9,56.0,7.358193752733032,1569
0.38,4,3,3,62.2,56.0,6.890609120147166,983
0.56,4,5,3,60.7,57.0,7.557472901614746,1915
0.71,3,6,1,61.6,60.0,7.748028524432376,2317
0.7,3,4,2,60.8,56.0,7.780720886117918,2394
1.19,3,1,3,59.3,59.0,8.431853144249223,4591
1.6,2,2,4,61.2,58.6,9.423675982299306,12378
0.52,3,4,1,61.7,58.0,7.105786129481271,1219
1.22,4,2,5,61.7,56.0,9.144841389743487,9366
0.34,4,2,3,61.5,54.0,6.535241271013659,689
0.31,3,5,4,60.0,59.0,6.848005274576363,942
0.31,3,2,1,59.5,59.0,6.2166061010848646,501
0.5,4,3,1,61.0,57.0,7.027314514039777,1127
0.59,3,3,2,60.5,59.0,7.270312886079025,1437
1.51,3,2,1,60.2,62.0,8.901094121608562,7340
0.51,3,2,2,61.9,56.0,7.017506142941256,1116
1.0,0,1,2,56.4,61.0,8.273846932784508,3920
1.01,4,1,2,60.3,58.0,8.442685139241176,4641
0.3,1,4,6,61.1,61.0,6.525029657843462,682
1.23,4,3,6,63.2,56.0,9.221577003902171,10113
0.72,1,1,2,63.6,59.0,7.554334823725748,1909
0.52,4,3,3,62.0,55.0,7.720905251936779,2255
0.52,4,5,4,62.6,57.0,7.491645473605133,1793
0.27,2,4,3,58.7,58.0,6.152732694704104,470
2.31,3,0,6,62.1,58.0,9.686574550972555,16100
0.41,3,3,4,62.1,60.0,6.80128303447162,899
1.07,2,4,4,62.0,58.0,8.870382066070137,7118
0.31,4,6,2,61.3,56.0,6.336825731146441,565
1.09,2,3,4,59.9,56.0,8.98619632032839,7992
0.4,4,2,3,61.9,55.0,6.586171654854675,725
0.28,4,5,6,62.0,56.0,6.470799503782602,646
0.34,3,5,2,59.3,58.0,6.39024066706535,596
0.81,4,0,2,62.0,56.0,7.7437032581737535,2307
1.0,2,6,2,61.4,63.0,8.706159290928861,6040
1.0,1,4,5,60.7,62.0,8.997023381479709,8079
0.26,2,5,3,62.1,56.0,6.113682179832232,452
0.26,2,5,6,61.5,56.0,6.48768401848461,657
1.03,2,2,2,61.1,59.0,8.416267272826277,4520
0.74,3,5,3,62.7,58.0,8.07961802938984,3228
0.9,4,5,2,60.1,56.0,8.302513718514158,4034
0.33,1,1,2,63.2,58.0,6.09807428216624,445
0.4,3,0,4,60.7,60.0,6.447305862541213,631
1.0,4,4,5,61.3,56.0,8.685077700412423,5914
0.53,2,4,2,60.9,60.0,7.186901020411631,1322
0.31,3,5,3,61.0,58.0,6.522092798170152,680
0.55,4,3,1,62.1,56.0,7.067319848653476,1173
1.83,2,5,1,62.0,57.0,9.42375676753181,12379
0.39,4,4,4,61.6,57.0,6.804614520062624,902
0.34,4,5,2,61.4,54.0,6.639875833826536,765
0.51,1,2,3,61.8,65.0,7.028201432058005,1128
1.2,1,1,4,57.8,61.0,8.62515033292133,5570
1.0,0,4,2,66.4,57.0,8.35608503102148,4256
0.71,0,4,1,60.1,68.0,7.752335163302292,2327
1.01,3,5,4,60.8,59.0,8.982686665184087,7964
0.41,3,3,6,59.9,59.0,7.048386408721883,1151
0.39,4,3,4,62.2,54.3,6.748759547491679,853
0.9,3,6,2,62.7,56.0,8.36730010184162,4304
0.31,4,3,6,61.0,57.0,6.670766320845874,789
0.9,3,3,4,62.7,60.0,8.40290404501411,4460
0.9,2,2,1,62.0,58.0,8.10892415597534,3324
0.78,3,5,3,62.6,57.0,7.996317231796746,2970
0.6,2,4,2,63.2,57.0,7.377133712833954,1599
0.59,4,1,6,61.2,56.0,7.6251071482389,2049
1.02,2,6,2,62.8,56.0,8.707317560273212,6047
0.53,3,3,2,61.3,58.0,7.145196134997171,1268
1.7,3,1,3,62.2,58.0,9.38328476695754,11888
1.24,3,3,4,62.0,59.0,8.943767262734637,7660
0.72,4,5,1,60.1,56.0,7.891330757661889,2674
2.18,3,0,1,62.6,58.0,9.47039427731049,12970
0.76,4,6,3,61.8,55.0,8.131824785007195,3401
0.52,4,6,3,62.1,57.0,7.532623618788788,1868
0.33,4,3,7,62.2,56.0,6.9584483932976555,1052
1.31,3,0,1,59.7,59.0,8.215276958936633,3697
0.24,4,2,6,62.4,56.0,6.1070228877422545,449
1.1,3,3,3,60.2,58.0,8.802823159741887,6653
0.55,2,2,3,60.2,59.0,7.190676034332207,1327
1.9,4,1,1,60.9,55.0,9.406318255217624,12165
0.74,3,2,3,60.2,58.0,7.845024417241484,2553
0.3,4,2,3,61.9,55.0,6.206575926724928,496
0.33,4,6,1,61.1,57.0,6.198478716492308,492
0.55,4,5,2,62.5,56.0,7.3833681469923835,1609
1.2,3,3,1,59.9,59.0,8.565983355585669,5250
1.51,3,5,1,62.7,58.0,8.754949455098293,6342
0.72,1,2,2,63.7,59.0,7.7306140660637395,2277
2.0,0,2,1,65.3,55.0,9.282847062762931,10752
0.59,2,2,4,62.1,55.0,7.471363088187097,1757
1.01,3,2,1,61.6,61.0,7.947325027016463,2828
0.7,4,5,1,61.2,55.0,7.713784616598755,2239
0.42,2,6,6,62.4,55.0,7.121252453244542,1238
1.0,0,0,1,56.3,64.0,8.070593539949519,3199
0.3,1,3,3,63.5,58.0,6.1224928095143865,456
1.03,3,4,2,62.2,59.0,8.505525386548555,4942
0.9,4,4,3,62.6,56.0,8.476579508530941,4801
1.08,4,3,4,61.0,56.0,8.929700114313448,7553
1.0,2,4,1,62.4,56.0,8.270269111436624,3906
0.52,1,1,2,63.3,55.0,6.885509670034818,978
0.35,3,5,6,60.7,59.0,7.017506142941256,1116
1.26,3,2,1,60.9,57.0,8.600430789986293,5434
0.71,2,4,0,63.2,55.0,7.277938572945661,1448
1.51,2,1,4,61.1,63.0,9.095826985187422,8918
1.21,2,3,5,60.4,56.0,9.19806534110057,9878
0.71,3,1,3,62.8,59.0,7.7406644019172415,2300
0.33,3,3,6,61.5,59.0,6.697034247666484,810
1.05,4,4,6,62.7,57.0,9.188503677367008,9784
1.1,3,3,1,61.4,59.0,8.444622498581403,4650
1.1,4,2,2,60.2,56.0,8.500250470685925,4916
0.46,0,4,3,66.0,58.0,6.889591308354466,982
1.5,3,4,3,61.6,58.0,9.551871220788255,14071
0.73,4,6,1,61.8,57.0,7.890208213109961,2671
1.04,2,1,2,62.9,54.0,8.506738733512378,4948
1.07,4,4,3,61.7,57.0,9.064157861798101,8640
0.8,2,3,1,62.0,55.0,7.977625098784593,2915
2.01,3,5,1,58.7,54.0,9.684336022491456,16064
1.15,3,6,2,61.7,58.0,8.706324840138741,6041
1.03,3,4,2,60.9,60.0,8.429235912657095,4579
0.71,2,5,3,60.7,60.0,7.979681302387741,2921
2.07,4,0,5,62.7,54.0,9.718181546701214,16617
0.71,2,5,5,60.3,52.0,8.23217423638394,3760
0.4,4,5,6,62.8,57.0,7.242082359256962,1397
1.01,3,6,2,62.7,58.0,8.498825534058053,4909
0.31,3,6,3,61.2,59.0,6.848005274576363,942
1.71,4,2,2,62.2,56.0,9.444700778495557,12641
0.5,4,2,6,61.4,57.0,7.428927194802272,1684
0.54,2,3,4,61.6,56.0,7.469654172932128,1754
1.02,2,3,3,60.5,54.0,8.709134991587183,6058
1.03,3,6,1,61.8,60.0,8.425077902508432,4560
0.9,2,2,3,62.7,59.0,8.336390480591552,4173
0.57,4,5,3,62.2,55.0,7.437206366871292,1698
1.5,2,3,2,61.5,59.0,9.17419492533983,9645
0.56,4,3,7,62.0,56.0,7.80057265467065,2442
0.63,3,5,2,61.3,58.0,7.560601162768557,1921
0.34,4,4,2,59.4,57.0,6.4457198193855785,630
1.72,3,2,3,61.9,56.0,9.482045489904824,13122
0.39,2,3,6,62.7,58.0,6.74993119378857,854
0.42,4,4,5,60.6,57.0,7.040536390215956,1142
0.4,2,3,6,60.7,55.0,6.97166860472579,1066
1.55,4,1,6,62.1,56.0,9.381685238056505,11869
1.12,4,2,4,60.9,57.0,8.938006576471201,7616
0.55,4,2,5,61.7,57.0,7.44716835960004,1715
0.7,2,1,5,63.3,55.0,7.789454566086673,2415
0.26,2,5,5,58.9,61.0,6.335054251498059,564
0.57,4,3,4,62.1,56.0,7.575071699507561,1949
1.01,3,1,2,62.3,58.0,8.379079889286603,4355
0.34,4,5,3,61.2,56.0,6.553933404025811,702
0.33,3,3,2,61.6,57.0,6.447305862541213,631
0.81,4,4,1,62.1,57.0,7.952615111651,2843
1.5,4,5,2,62.4,56.0,9.184406989949679,9744
0.76,4,6,3,60.2,56.0,8.117312461601975,3352
0.72,2,5,6,60.8,58.0,8.37539918579835,4339
0.55,2,5,3,61.4,57.0,7.487733761436444,1786
1.24,3,6,1,61.4,59.0,8.848652886213905,6965
1.24,2,3,1,60.5,60.0,8.756839814829462,6354
0.41,2,6,6,62.7,56.0,7.207118856207756,1349
0.23,4,5,4,61.9,55.0,6.373319789577012,586
0.4,2,4,3,63.6,56.0,6.7650389767805414,867
0.97,4,0,4,61.3,57.0,8.361240889642351,4278
0.72,4,1,4,62.3,55.0,7.725330037917135,2265
2.18,4,1,1,61.4,60.0,9.6071010394542,14870
0.31,2,3,6,63.0,56.0,6.565264970035361,710
0.33,4,3,7,61.9,54.0,6.891625897052253,984
0.97,3,2,1,58.8,58.0,8.11552088154677,3346
0.5,2,3,6,61.5,56.0,7.519149957669823,1843
2.05,3,2,3,60.7,61.0,9.694924684536947,16235
0.32,3,1,5,60.7,59.0,6.579251212010101,720
0.35,3,2,3,59.6,62.0,6.5638555265321274,709
1.01,1,5,1,58.7,63.0,8.452121194672523,4685
0.51,3,6,4,59.5,57.0,7.5352967024440884,1873
1.01,2,0,2,63.3,55.0,8.326758814511733,4133
0.33,3,3,4,59.2,59.0,6.74993119378857,854
0.91,1,4,4,63.1,59.0,8.412277021466677,4502
0.41,3,4,1,60.9,58.0,6.664409020350408,784
0.51,4,5,3,61.7,54.0,7.484930283289661,1781
1.0,3,5,2,62.6,60.0,8.602453035367061,5445
0.44,4,1,6,60.9,56.0,7.0431599159883405,1145
0.31,3,4,6,59.7,59.0,6.68586094706836,801
0.38,3,6,6,60.4,59.0,7.24422751560335,1400
1.01,1,0,2,58.8,57.0,8.256607344626158,3853
0.23,2,6,3,60.2,57.0,6.3578422665081,577
0.52,4,5,5,61.8,56.0,7.795646536334594,2430
0.24,2,4,5,60.9,55.0,6.304448802421981,547
0.4,4,4,5,61.7,55.0,6.992096427415888,1088
0.9,0,3,2,65.6,56.0,8.05356916913454,3145
0.7,3,6,4,61.0,59.0,8.160803920954665,3501
0.3,4,5,3,61.3,57.0,6.738152494595957,844
0.77,3,4,4,60.9,60.0,7.958227192322312,2859
1.01,0,0,1,66.9,58.0,7.894690850425624,2683
0.9,0,5,1,65.8,59.0,8.000349495324684,2982
1.13,4,5,1,62.2,56.0,8.604654467186231,5457
1.06,2,2,1,62.6,60.0,8.293049139768444,3996
0.31,2,3,1,62.3,57.0,6.0112671744041615,408
0.32,4,5,2,61.8,55.0,6.329720905522696,561
0.91,2,3,1,61.8,59.0,8.127995055771946,3388
1.01,4,1,2,60.2,59.0,8.352554369474591,4241
1.33,4,2,2,62.7,56.0,8.866158492284917,7088
0.32,2,3,3,62.3,55.0,6.298949246855942,544
1.51,3,0,3,60.7,60.0,8.903407519932264,7357
2.04,4,1,2,61.0,57.0,9.7242412622591,16718
0.33,4,4,4,61.2,56.0,6.833031732786201,928
1.11,3,6,6,62.0,54.0,9.50338305067006,13405
0.77,3,3,2,60.7,58.0,7.848933726364071,2563
1.0,1,5,3,63.1,56.0,8.821142236331891,6776
0.93,4,3,2,62.2,58.0,8.448057452581375,4666
1.51,3,6,2,62.5,60.0,9.372459221452617,11760
0.35,3,5,3,60.7,60.0,6.891625897052253,984
1.2,4,1,4,59.3,57.0,8.65956043270316,5765
1.01,3,3,3,59.8,61.0,8.634086942887738,5620
0.42,4,3,3,62.2,54.0,6.99117688712121,1087
0.3,3,2,4,61.4,59.0,6.51471269087253,675
0.81,3,6,4,62.3,58.0,8.344980368770571,4209
0.55,4,3,4,60.9,55.0,7.53955882930103,1881
1.52,2,3,1,60.9,57.0,9.005895898094458,8151
1.01,2,1,2,63.5,53.0,8.475120414994329,4794
0.51,3,3,4,62.2,58.0,7.415776975415394,1662
0.5,4,6,3,61.9,57.0,7.432483807917119,1690
0.42,2,5,5,62.1,56.0,7.062191632286556,1167
0.34,4,6,2,62.0,56.0,6.439350371100098,626
1.5,4,1,1,60.6,59.0,8.889170455363413,7253
0.31,4,5,5,61.6,55.0,6.673297967767654,791
0.53,4,6,3,61.4,55.0,7.526717561352706,1857
1.5,0,2,0,68.9,56.0,8.573951525234847,5292
1.75,4,3,3,61.5,57.0,9.760944245750586,17343
1.7,2,3,4,63.5,56.0,9.62258246436337,15102
0.37,3,6,5,61.0,60.0,6.976348070447749,1071
0.32,2,4,6,61.5,57.0,6.786716950605081,886
0.31,3,3,5,60.0,62.0,6.810142450115136,907
0.31,4,3,6,59.5,56.0,6.704414354964107,816
0.77,2,3,2,63.6,57.0,7.977625098784593,2915
0.71,4,4,6,61.1,54.0,8.504513138258863,4937
0.57,2,4,3,59.5,57.0,7.469654172932128,1754
0.3,4,1,4,62.0,57.0,6.124683390894205,457
0.8,4,4,5,61.6,57.0,8.32845106681936,4140
1.01,1,6,1,63.6,57.0,8.37516869138682,4338
1.01,1,3,4,58.7,62.0,8.73985662749357,6247
1.21,1,3,0,64.0,59.0,8.13593277200489,3415
1.09,4,3,3,62.8,57.0,8.894533135798554,7292
0.35,3,4,2,60.2,58.0,6.368187186350492,583
0.33,3,6,2,60.3,58.0,6.410174881966167,608
0.61,3,4,5,63.0,60.0,7.7488913372555315,2319
0.34,4,5,6,62.2,56.0,6.988413181999592,1084
0.83,4,2,3,61.6,55.0,8.061802274538348,3171
0.51,2,4,7,59.4,60.0,7.742402021815782,2304
0.4,2,2,4,62.7,56.0,6.693323668269949,807
0.5,4,3,6,62.2,56.0,7.635303886259415,2070
2.02,2,6,1,62.3,56.0,9.756320761816548,17263
1.08,4,4,2,62.7,57.0,8.580543506917,5327
0.41,1,5,6,60.4,61.0,7.063903961472068,1169
0.4,4,3,7,61.4,55.0,7.242082359256962,1397
0.59,4,3,5,62.2,56.0,7.635303886259415,2070
0.31,3,1,2,62.8,60.0,6.285998094508865,537
0.42,4,0,4,60.9,57.0,6.4967749901858625,663
0.33,4,5,6,60.9,56.0,6.891625897052253,984
0.6,2,4,3,60.8,56.0,7.727535110475448,2270
1.03,2,4,5,61.3,57.0,9.033006356693267,8375
1.16,4,6,5,62.0,55.0,9.471858124407284,12989
0.31,4,6,2,61.5,56.0,6.3473892096560105,571
0.3,3,3,4,61.9,59.0,6.654152520183219,776
1.51,4,3,4,61.9,57.0,9.59383249927394,14674
1.5,2,4,3,61.3,58.0,9.435561763085358,12526
0.83,4,2,3,61.3,54.0,7.99799931797973,2975
0.41,4,6,2,62.6,57.0,6.922643891475888,1015
0.4,2,5,2,62.0,61.0,6.532334292222349,687
1.16,4,3,4,61.5,55.0,9.13216259091216,9248
0.76,2,2,1,59.8,58.0,7.790696031174738,2418
1.2,1,3,1,63.1,57.0,8.486115235845377,4847
0.35,4,3,4,62.5,55.0,6.80903930604298,906
0.3,4,4,3,61.8,57.0,6.405228458030842,605
1.24,1,3,3,61.3,57.0,9.067854723679428,8672
0.9,1,3,2,63.8,59.0,8.207674424355282,3669
0.77,4,6,3,61.1,57.0,8.252446090246952,3837
1.26,1,1,1,63.7,58.0,8.507748732588238,4953
0.4,3,6,2,61.7,58.0,6.897704943128636,990
0.87,2,2,1,61.0,56.0,8.0040315078527,2993
0.31,4,1,6,62.0,54.0,6.322565239927284,557
0.62,3,1,3,61.9,59.0,7.228388451573604,1378
0.39,4,5,5,62.1,54.6,7.003065458786462,1100
0.38,4,1,5,63.4,53.0,6.695798917058491,809
0.51,2,3,5,62.2,56.0,7.474204806496124,1762
0.51,4,5,5,62.8,56.0,7.701200180857446,2211
1.01,4,6,2,61.2,57.0,8.620291149419804,5543
0.41,1,5,2,59.5,62.0,6.633318433280377,760
1.52,2,0,2,59.9,57.0,8.95660873889395,7759
0.55,4,3,3,61.1,57.0,7.513709247839705,1833
0.59,4,5,2,61.1,56.0,7.489970898834801,1790
0.8,4,3,3,60.1,57.0,7.843848638152472,2550
0.59,4,5,2,62.2,57.0,7.396335293800808,1630
1.5,2,0,5,63.3,56.0,9.03491498187007,8391
1.2,4,3,5,61.0,56.0,9.352707613263105,11530
0.53,1,6,1,63.9,55.0,7.183870715062453,1318
0.3,3,4,6,61.8,59.0,7.01571242048723,1114
1.04,4,6,2,61.9,57.0,8.718009330846357,6112
0.7,2,5,1,59.5,56.0,7.732369222284388,2281
1.51,4,2,2,62.7,56.0,9.17926241640532,9694
0.72,4,2,4,61.1,57.0,7.993282328101591,2961
1.03,3,2,1,62.3,59.0,8.3133619511344,4078
0.5,4,6,2,60.9,57.0,7.354362330421477,1563
0.75,2,5,2,63.4,57.0,7.900266036767701,2698
1.13,1,4,1,64.0,58.0,8.281977058867758,3952
0.3,2,1,5,62.1,56.0,6.278521424165844,533
0.43,3,4,3,61.1,57.0,6.875232087276577,968
0.41,2,6,3,62.8,58.0,6.658011045870748,779
0.4,2,0,4,63.2,57.0,6.697034247666484,810
1.1,4,0,1,60.9,56.0,8.332548939252638,4157
0.5,4,5,2,61.8,56.0,7.388327859577107,1617
1.0,2,3,3,60.6,60.0,8.634620608292202,5623
0.23,1,3,5,63.8,56.0,6.059123195581797,428
0.82,3,2,4,62.3,60.0,8.001355025826703,2985
